epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,1,chains,0.1,1,0.9,62.5
-1.0,1,chains,1,1,0.9,62.5
-1.0,1,chains,1,0.9,0.9,62.5
-1.0,1,chains,10,1,0.9,62.5
-1.0,1,chains,10,0.9,0.9,62.5
1.0,1,chains,10,1,0.9,65.62
1.0,1,chains,10,0.9,0.9,62.5
1.0,1,chains,10,1,0.8,62.5
1.0,1,chains,1,1,0.7,62.5
1.0,1,chains,10,1,0.7,62.5
2.0,1,chains,10,1,0.9,65.62
2.0,1,chains,10,1,0.8,62.5
2.0,1,chains,10,1,0.7,62.5
2.0,1,chains,1,1,0.9,59.38
2.0,1,chains,0.1,0.9,0.6,59.38
4.0,1,chains,1,1,0.9,65.62
4.0,1,chains,1,1,0.8,59.38
4.0,1,chains,0.1,0.9,0.9,56.25
4.0,1,chains,0.1,0.9,0.8,56.25
4.0,1,chains,1,0.9,0.8,56.25
8.0,1,chains,1,1,0.8,65.62
8.0,1,chains,1,0.9,0.8,65.62
8.0,1,chains,1,0.9,0.9,62.5
8.0,1,chains,1,1,0.7,62.5
8.0,1,chains,10,1,0.7,62.5
16.0,1,chains,0.1,0.9,0.8,71.88
16.0,1,chains,0.1,1,0.7,71.88
16.0,1,chains,0.1,0.9,0.9,68.75
16.0,1,chains,0.1,1,0.8,68.75
16.0,1,chains,0.1,0.9,0.7,68.75
32.0,1,chains,10,1,0.8,75.0
32.0,1,chains,10,0.9,0.7,75.0
32.0,1,chains,0.1,1,0.9,71.88
32.0,1,chains,0.1,0.9,0.9,71.88
32.0,1,chains,10,1,0.9,71.88
