hops,dataset,max_accuracy,epsilon
4,chains,72.5,-1.0
4,chains,55.0,1.0
4,chains,55.0,2.0
4,chains,55.0,4.0
4,chains,55.0,8.0
4,chains,52.5,16.0
4,chains,57.5,32.0
