hops,dataset,max_accuracy,epsilon
1,chains,59.38,16.0
2,chains,59.38,16.0
3,chains,62.5,16.0
4,chains,43.75,16.0
5,chains,56.25,16.0
6,chains,53.12,16.0
7,chains,59.38,16.0
8,chains,56.25,16.0
9,chains,56.25,16.0
10,chains,46.88,16.0
15,chains,43.75,16.0
