epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy,avg_accuracy
-1.0,8,chains,1,0.9,0.6,100.0,100.0
-1.0,8,chains,10,0.9,0.7,100.0,100.0
-1.0,8,chains,10,0.9,0.8,100.0,100.0
1.0,10,chains,10,1,0.9,78.12,76.04
1.0,7,chains,10,1,0.9,75.0,76.04
1.0,15,chains,10,1,0.7,75.0,76.04
2.0,3,chains,10,1,0.9,87.5,87.5
2.0,3,chains,10,0.9,0.9,87.5,87.5
2.0,3,chains,10,1,0.8,87.5,87.5
4.0,7,chains,10,0.9,0.6,93.75,89.58333333333333
4.0,7,chains,10,0.9,0.9,87.5,89.58333333333333
4.0,7,chains,10,0.9,0.7,87.5,89.58333333333333
8.0,6,chains,10,1,0.6,87.5,87.5
8.0,7,chains,10,1,0.7,87.5,87.5
8.0,7,chains,10,1,0.6,87.5,87.5
16.0,6,chains,1,1,0.6,90.62,87.5
16.0,6,chains,1,0.9,0.6,87.5,87.5
16.0,6,chains,10,1,0.7,84.38,87.5
32.0,7,chains,1,1,0.6,90.62,90.62
32.0,7,chains,1,0.9,0.7,90.62,90.62
32.0,6,chains,10,1,0.6,90.62,90.62
