epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,2,chains,10,0.9,0.8,78.12
-1.0,2,chains,0.1,1,0.7,78.12
-1.0,2,chains,0.1,1,0.6,78.12
-1.0,2,chains,0.1,1,0.9,75.0
-1.0,2,chains,0.1,0.9,0.9,75.0
1.0,2,chains,10,1,0.9,65.62
1.0,2,chains,10,0.9,0.9,65.62
1.0,2,chains,10,0.9,0.8,65.62
1.0,2,chains,10,0.9,0.7,65.62
1.0,2,chains,1,1,0.6,65.62
2.0,2,chains,10,1,0.9,68.75
2.0,2,chains,10,0.9,0.9,68.75
2.0,2,chains,10,1,0.8,68.75
2.0,2,chains,10,0.9,0.8,68.75
2.0,2,chains,10,1,0.7,68.75
4.0,2,chains,10,1,0.9,68.75
4.0,2,chains,10,0.9,0.9,68.75
4.0,2,chains,10,1,0.8,68.75
4.0,2,chains,10,0.9,0.8,65.62
4.0,2,chains,10,1,0.7,65.62
8.0,2,chains,10,1,0.9,65.62
8.0,2,chains,1,1,0.8,65.62
8.0,2,chains,10,1,0.7,65.62
8.0,2,chains,10,0.9,0.7,65.62
8.0,2,chains,10,0.9,0.6,65.62
16.0,2,chains,10,1,0.9,68.75
16.0,2,chains,10,0.9,0.7,65.62
16.0,2,chains,10,0.9,0.6,65.62
16.0,2,chains,10,0.9,0.9,62.5
16.0,2,chains,10,1,0.8,62.5
32.0,2,chains,10,1,0.7,71.88
32.0,2,chains,10,1,0.9,68.75
32.0,2,chains,10,0.9,0.9,68.75
32.0,2,chains,10,1,0.8,68.75
32.0,2,chains,10,0.9,0.8,68.75
