epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
8.0,5,chains,10,1,0.9,63.33
8.0,5,chains,10,0.9,0.9,63.33
8.0,5,chains,10,1,0.8,63.33
8.0,5,chains,10,0.9,0.8,63.33
8.0,5,chains,10,1,0.7,63.33
8.0,7,chains,10,0.9,0.9,73.33
8.0,7,chains,10,1,0.8,71.67
8.0,7,chains,10,0.9,0.8,71.67
8.0,7,chains,10,1,0.9,70.0
8.0,7,chains,10,1,0.7,70.0
8.0,9,chains,1,0.9,0.7,63.33
8.0,9,chains,0.1,0.9,0.9,61.67
8.0,9,chains,1,0.9,0.9,61.67
8.0,9,chains,0.1,0.9,0.7,61.67
8.0,9,chains,0.1,1,0.9,60.0
8.0,11,chains,10,1,0.6,75.0
8.0,11,chains,10,1,0.7,73.33
8.0,11,chains,10,0.9,0.7,73.33
8.0,11,chains,10,1,0.9,71.67
8.0,11,chains,10,0.9,0.9,71.67
8.0,13,chains,10,1,0.9,70.0
8.0,13,chains,10,1,0.8,70.0
8.0,13,chains,10,1,0.7,70.0
8.0,13,chains,10,1,0.6,70.0
8.0,13,chains,1,1,0.9,66.67
8.0,15,chains,10,1,0.8,61.67
8.0,15,chains,10,1,0.7,61.67
8.0,15,chains,10,0.9,0.6,61.67
8.0,15,chains,10,0.9,0.8,60.0
8.0,15,chains,10,1,0.9,58.33
8.0,17,chains,10,0.9,0.6,70.0
8.0,17,chains,10,0.9,0.7,65.0
8.0,17,chains,10,0.9,0.8,63.33
8.0,17,chains,10,1,0.6,61.67
8.0,17,chains,10,1,0.8,60.0
8.0,20,chains,10,1,0.8,73.33
8.0,20,chains,10,0.9,0.8,73.33
8.0,20,chains,10,1,0.9,71.67
8.0,20,chains,10,0.9,0.9,71.67
8.0,20,chains,10,1,0.7,71.67
