hops,dataset,max_accuracy,epsilon
1,chains,56.25,4.0
2,chains,53.12,4.0
3,chains,65.62,4.0
4,chains,46.88,4.0
5,chains,53.12,4.0
6,chains,62.5,4.0
7,chains,59.38,4.0
8,chains,50.0,4.0
9,chains,56.25,4.0
10,chains,50.0,4.0
15,chains,43.75,4.0
