hops,dataset,max_accuracy,epsilon
1,chains,47.5,8.0
2,chains,57.5,8.0
3,chains,57.5,8.0
4,chains,55.0,8.0
5,chains,55.0,8.0
6,chains,60.0,8.0
7,chains,57.5,8.0
8,chains,60.0,8.0
9,chains,55.0,8.0
10,chains,57.5,8.0
15,chains,47.5,8.0
