epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
1.0,5,chains,10,0.9,0.6,61.67
1.0,5,chains,1,1,0.6,60.0
1.0,5,chains,1,0.9,0.6,60.0
1.0,5,chains,10,0.9,0.9,58.33
1.0,5,chains,0.1,1,0.8,58.33
1.0,7,chains,0.1,0.9,0.8,70.0
1.0,7,chains,1,0.9,0.6,70.0
1.0,7,chains,0.1,1,0.9,68.33
1.0,7,chains,0.1,0.9,0.7,68.33
1.0,7,chains,1,1,0.7,68.33
1.0,9,chains,0.1,0.9,0.8,61.67
1.0,9,chains,0.1,0.9,0.7,61.67
1.0,9,chains,0.1,1,0.6,61.67
1.0,9,chains,0.1,1,0.8,60.0
1.0,9,chains,1,0.9,0.8,60.0
1.0,11,chains,10,0.9,0.9,70.0
1.0,11,chains,10,1,0.8,70.0
1.0,11,chains,10,0.9,0.8,70.0
1.0,11,chains,10,1,0.7,70.0
1.0,11,chains,10,0.9,0.7,70.0
1.0,13,chains,1,0.9,0.9,65.0
1.0,13,chains,1,0.9,0.8,65.0
1.0,13,chains,10,0.9,0.8,65.0
1.0,13,chains,1,0.9,0.7,65.0
1.0,13,chains,0.1,1,0.9,63.33
1.0,15,chains,10,0.9,0.8,58.33
1.0,15,chains,10,0.9,0.7,58.33
1.0,15,chains,10,0.9,0.9,56.67
1.0,15,chains,1,0.9,0.6,56.67
1.0,15,chains,10,1,0.6,56.67
1.0,17,chains,10,0.9,0.7,58.33
1.0,17,chains,10,0.9,0.6,56.67
1.0,17,chains,10,1,0.6,55.0
1.0,17,chains,10,0.9,0.8,53.33
1.0,17,chains,10,1,0.7,53.33
1.0,20,chains,10,0.9,0.7,70.0
1.0,20,chains,10,1,0.6,70.0
1.0,20,chains,10,0.9,0.6,68.33
1.0,20,chains,10,0.9,0.8,66.67
1.0,20,chains,10,1,0.7,66.67
