hops,dataset,max_accuracy,epsilon
20,chains,100.0,-1.0
20,chains,51.67,1.0
20,chains,51.67,2.0
20,chains,51.67,4.0
20,chains,51.67,8.0
20,chains,51.67,16.0
20,chains,51.67,32.0
