epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,5,chains,1,1,0.9,71.67
-1.0,5,chains,0.1,1,0.9,66.67
-1.0,5,chains,0.1,0.9,0.9,65.0
-1.0,5,chains,1,0.9,0.9,65.0
-1.0,5,chains,10,1,0.9,65.0
-1.0,7,chains,0.1,1,0.9,83.33
-1.0,7,chains,1,1,0.9,75.0
-1.0,7,chains,1,0.9,0.9,73.33
-1.0,7,chains,10,1,0.9,73.33
-1.0,7,chains,10,0.9,0.9,71.67
-1.0,9,chains,0.1,1,0.8,86.67
-1.0,9,chains,0.1,1,0.9,83.33
-1.0,9,chains,1,1,0.9,80.0
-1.0,9,chains,0.1,0.9,0.9,75.0
-1.0,9,chains,10,1,0.9,71.67
-1.0,11,chains,0.1,1,0.9,93.33
-1.0,11,chains,10,1,0.8,86.67
-1.0,11,chains,1,1,0.9,81.67
-1.0,11,chains,10,0.9,0.7,81.67
-1.0,11,chains,0.1,0.9,0.6,78.33
-1.0,13,chains,1,1,0.9,80.0
-1.0,13,chains,0.1,1,0.9,71.67
-1.0,13,chains,10,1,0.9,71.67
-1.0,13,chains,0.1,0.9,0.9,65.0
-1.0,13,chains,1,0.9,0.9,65.0
-1.0,15,chains,0.1,1,0.9,93.33
-1.0,15,chains,1,1,0.9,86.67
-1.0,15,chains,1,0.9,0.8,78.33
-1.0,15,chains,10,1,0.7,78.33
-1.0,15,chains,10,1,0.9,75.0
-1.0,17,chains,1,1,0.9,80.0
-1.0,17,chains,10,1,0.9,80.0
-1.0,17,chains,0.1,1,0.9,71.67
-1.0,17,chains,1,0.9,0.9,71.67
-1.0,17,chains,0.1,1,0.8,70.0
-1.0,20,chains,0.1,1,0.9,100.0
-1.0,20,chains,1,1,0.9,80.0
-1.0,20,chains,10,1,0.9,80.0
-1.0,20,chains,0.1,0.9,0.9,71.67
-1.0,20,chains,1,0.9,0.9,71.67
