hops,dataset,max_accuracy,epsilon
6,chains,84.38,-1.0
6,chains,65.62,1.0
6,chains,65.62,2.0
6,chains,62.5,4.0
6,chains,59.38,8.0
6,chains,53.12,16.0
6,chains,56.25,32.0
