hops,dataset,max_accuracy,epsilon
5,chains,50.0,1.0
7,chains,50.0,1.0
9,chains,51.67,1.0
11,chains,50.0,1.0
13,chains,61.67,1.0
15,chains,60.0,1.0
17,chains,51.67,1.0
20,chains,51.67,1.0
