epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,5,chains,1,1,0.9,71.67
-1.0,5,chains,0.1,1,0.9,66.67
-1.0,5,chains,0.1,0.9,0.9,65.0
-1.0,5,chains,1,0.9,0.9,65.0
-1.0,5,chains,10,1,0.9,65.0
1.0,5,chains,10,0.9,0.6,61.67
1.0,5,chains,1,1,0.6,60.0
1.0,5,chains,1,0.9,0.6,60.0
1.0,5,chains,10,0.9,0.9,58.33
1.0,5,chains,0.1,1,0.8,58.33
2.0,5,chains,1,0.9,0.7,61.67
2.0,5,chains,10,0.9,0.7,61.67
2.0,5,chains,10,1,0.6,61.67
2.0,5,chains,0.1,1,0.8,60.0
2.0,5,chains,1,0.9,0.8,60.0
4.0,5,chains,10,1,0.7,63.33
4.0,5,chains,10,1,0.6,63.33
4.0,5,chains,10,0.9,0.9,61.67
4.0,5,chains,10,1,0.8,61.67
4.0,5,chains,10,0.9,0.8,61.67
8.0,5,chains,10,1,0.9,63.33
8.0,5,chains,10,0.9,0.9,63.33
8.0,5,chains,10,1,0.8,63.33
8.0,5,chains,10,0.9,0.8,63.33
8.0,5,chains,10,1,0.7,63.33
16.0,5,chains,10,0.9,0.8,68.33
16.0,5,chains,10,1,0.7,65.0
16.0,5,chains,10,0.9,0.7,65.0
16.0,5,chains,10,1,0.9,63.33
16.0,5,chains,10,1,0.8,63.33
32.0,5,chains,1,0.9,0.9,78.33
32.0,5,chains,1,1,0.7,70.0
32.0,5,chains,10,1,0.9,65.0
32.0,5,chains,10,0.9,0.9,65.0
32.0,5,chains,10,0.9,0.8,65.0
