epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,7,chains,0.1,1,0.9,83.33
-1.0,7,chains,1,1,0.9,75.0
-1.0,7,chains,1,0.9,0.9,73.33
-1.0,7,chains,10,1,0.9,73.33
-1.0,7,chains,10,0.9,0.9,71.67
1.0,7,chains,0.1,0.9,0.8,70.0
1.0,7,chains,1,0.9,0.6,70.0
1.0,7,chains,0.1,1,0.9,68.33
1.0,7,chains,0.1,0.9,0.7,68.33
1.0,7,chains,1,1,0.7,68.33
2.0,7,chains,1,0.9,0.9,70.0
2.0,7,chains,1,0.9,0.7,70.0
2.0,7,chains,0.1,0.9,0.6,70.0
2.0,7,chains,0.1,0.9,0.9,68.33
2.0,7,chains,10,1,0.9,68.33
4.0,7,chains,10,0.9,0.7,73.33
4.0,7,chains,10,1,0.7,71.67
4.0,7,chains,0.1,1,0.8,70.0
4.0,7,chains,0.1,1,0.7,70.0
4.0,7,chains,10,1,0.6,70.0
8.0,7,chains,10,0.9,0.9,73.33
8.0,7,chains,10,1,0.8,71.67
8.0,7,chains,10,0.9,0.8,71.67
8.0,7,chains,10,1,0.9,70.0
8.0,7,chains,10,1,0.7,70.0
16.0,7,chains,10,1,0.9,73.33
16.0,7,chains,10,0.9,0.9,73.33
16.0,7,chains,10,1,0.8,73.33
16.0,7,chains,0.1,0.9,0.8,71.67
16.0,7,chains,10,0.9,0.8,71.67
32.0,7,chains,0.1,1,0.7,70.0
32.0,7,chains,10,1,0.7,70.0
32.0,7,chains,10,0.9,0.7,70.0
32.0,7,chains,0.1,0.9,0.6,70.0
32.0,7,chains,10,1,0.6,70.0
