hops,dataset,max_accuracy,epsilon
5,chains,50.0,32.0
7,chains,51.67,32.0
9,chains,53.33,32.0
11,chains,53.33,32.0
13,chains,61.67,32.0
15,chains,60.0,32.0
17,chains,51.67,32.0
20,chains,51.67,32.0
