hops,dataset,max_accuracy,epsilon
1,chains,53.12,-1.0
2,chains,62.5,-1.0
3,chains,68.75,-1.0
4,chains,75.0,-1.0
5,chains,84.38,-1.0
6,chains,84.38,-1.0
7,chains,84.38,-1.0
8,chains,93.75,-1.0
9,chains,93.75,-1.0
10,chains,93.75,-1.0
15,chains,100.0,-1.0
