hops,dataset,max_accuracy,epsilon
15,chains,86.67,-1.0
15,chains,60.0,1.0
15,chains,60.0,2.0
15,chains,60.0,4.0
15,chains,60.0,8.0
15,chains,60.0,16.0
15,chains,60.0,32.0
