hops,dataset,max_accuracy,epsilon,avg_accuracy
20,chains,100.0,-1.0,93.89
17,chains,95.0,-1.0,93.89
15,chains,86.67,-1.0,93.89
13,chains,61.67,1.0,57.78
15,chains,60.0,1.0,57.78
9,chains,51.67,1.0,57.78
13,chains,61.67,2.0,57.78
15,chains,60.0,2.0,57.78
20,chains,51.67,2.0,57.78
13,chains,61.67,4.0,57.78
15,chains,60.0,4.0,57.78
17,chains,51.67,4.0,57.78
13,chains,61.67,8.0,58.333333333333336
15,chains,60.0,8.0,58.333333333333336
11,chains,53.33,8.0,58.333333333333336
13,chains,61.67,16.0,58.333333333333336
15,chains,60.0,16.0,58.333333333333336
11,chains,53.33,16.0,58.333333333333336
13,chains,61.67,32.0,58.333333333333336
15,chains,60.0,32.0,58.333333333333336
11,chains,53.33,32.0,58.333333333333336
