epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
32.0,1,chains,1,1,0.9,77.5
32.0,1,chains,1,0.9,0.9,77.5
32.0,1,chains,10,1,0.9,77.5
32.0,1,chains,10,0.9,0.9,77.5
32.0,1,chains,1,1,0.8,77.5
32.0,2,chains,10,0.9,0.9,80.0
32.0,2,chains,10,1,0.8,80.0
32.0,2,chains,0.1,1,0.9,77.5
32.0,2,chains,10,1,0.9,77.5
32.0,2,chains,10,0.9,0.8,77.5
32.0,3,chains,10,1,0.9,67.5
32.0,3,chains,1,0.9,0.8,67.5
32.0,3,chains,10,0.9,0.9,65.0
32.0,3,chains,1,1,0.8,65.0
32.0,3,chains,10,1,0.8,65.0
32.0,4,chains,10,0.9,0.6,82.5
32.0,4,chains,10,1,0.6,80.0
32.0,4,chains,10,0.9,0.9,77.5
32.0,4,chains,1,1,0.8,77.5
32.0,4,chains,10,1,0.8,77.5
32.0,5,chains,1,0.9,0.9,77.5
32.0,5,chains,10,1,0.8,77.5
32.0,5,chains,10,1,0.9,75.0
32.0,5,chains,10,0.9,0.9,75.0
32.0,5,chains,1,1,0.7,75.0
32.0,6,chains,1,1,0.9,72.5
32.0,6,chains,1,0.9,0.9,72.5
32.0,6,chains,10,1,0.9,72.5
32.0,6,chains,10,0.9,0.9,72.5
32.0,6,chains,1,1,0.8,72.5
32.0,7,chains,10,1,0.7,77.5
32.0,7,chains,10,1,0.6,77.5
32.0,7,chains,10,0.9,0.6,77.5
32.0,7,chains,10,1,0.9,75.0
32.0,7,chains,1,0.9,0.8,75.0
32.0,8,chains,10,1,0.9,77.5
32.0,8,chains,10,1,0.8,77.5
32.0,8,chains,10,0.9,0.9,75.0
32.0,8,chains,1,1,0.8,72.5
32.0,8,chains,10,0.9,0.8,72.5
32.0,9,chains,10,1,0.6,65.0
32.0,9,chains,0.1,1,0.9,62.5
32.0,9,chains,10,1,0.9,62.5
32.0,9,chains,1,0.9,0.7,62.5
32.0,9,chains,10,1,0.7,62.5
32.0,10,chains,1,0.9,0.6,72.5
32.0,10,chains,10,1,0.6,72.5
32.0,10,chains,10,0.9,0.6,72.5
32.0,10,chains,10,1,0.7,70.0
32.0,10,chains,1,1,0.6,70.0
32.0,15,chains,1,0.9,0.7,80.0
32.0,15,chains,10,0.9,0.9,77.5
32.0,15,chains,10,0.9,0.8,77.5
32.0,15,chains,10,1,0.7,77.5
32.0,15,chains,10,0.9,0.7,77.5
