epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,4,chains,10,0.9,0.8,100.0
-1.0,4,chains,10,0.9,0.7,100.0
-1.0,4,chains,1,0.9,0.9,93.75
-1.0,4,chains,10,0.9,0.9,93.75
-1.0,4,chains,0.1,0.9,0.8,93.75
1.0,4,chains,10,0.9,0.6,75.0
1.0,4,chains,10,1,0.9,71.88
1.0,4,chains,10,0.9,0.9,71.88
1.0,4,chains,10,1,0.8,71.88
1.0,4,chains,10,0.9,0.8,71.88
2.0,4,chains,10,0.9,0.9,75.0
2.0,4,chains,10,0.9,0.8,75.0
2.0,4,chains,10,1,0.7,75.0
2.0,4,chains,10,1,0.6,75.0
2.0,4,chains,10,0.9,0.6,75.0
4.0,4,chains,10,1,0.9,71.88
4.0,4,chains,10,0.9,0.9,71.88
4.0,4,chains,10,1,0.8,71.88
4.0,4,chains,10,0.9,0.8,71.88
4.0,4,chains,10,1,0.7,71.88
8.0,4,chains,10,1,0.8,71.88
8.0,4,chains,10,0.9,0.8,71.88
8.0,4,chains,10,1,0.7,71.88
8.0,4,chains,10,0.9,0.7,71.88
8.0,4,chains,10,1,0.6,71.88
16.0,4,chains,10,1,0.9,75.0
16.0,4,chains,10,0.9,0.9,71.88
16.0,4,chains,10,0.9,0.7,71.88
16.0,4,chains,10,1,0.6,71.88
16.0,4,chains,10,0.9,0.6,71.88
32.0,4,chains,1,0.9,0.9,78.12
32.0,4,chains,10,0.9,0.9,78.12
32.0,4,chains,10,1,0.8,75.0
32.0,4,chains,1,1,0.9,71.88
32.0,4,chains,10,1,0.9,71.88
