hops,dataset,max_accuracy,epsilon
1,chains,52.5,4.0
2,chains,60.0,4.0
3,chains,60.0,4.0
4,chains,55.0,4.0
5,chains,55.0,4.0
6,chains,60.0,4.0
7,chains,57.5,4.0
8,chains,60.0,4.0
9,chains,55.0,4.0
10,chains,57.5,4.0
15,chains,47.5,4.0
