hops,dataset,max_accuracy,epsilon
9,chains,76.67,-1.0
9,chains,51.67,1.0
9,chains,51.67,2.0
9,chains,48.33,4.0
9,chains,48.33,8.0
9,chains,51.67,16.0
9,chains,53.33,32.0
