epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,15,chains,0.1,1,0.9,93.33
-1.0,15,chains,1,1,0.9,86.67
-1.0,15,chains,1,0.9,0.8,78.33
-1.0,15,chains,10,1,0.7,78.33
-1.0,15,chains,10,1,0.9,75.0
1.0,15,chains,10,0.9,0.8,58.33
1.0,15,chains,10,0.9,0.7,58.33
1.0,15,chains,10,0.9,0.9,56.67
1.0,15,chains,1,0.9,0.6,56.67
1.0,15,chains,10,1,0.6,56.67
2.0,15,chains,10,0.9,0.6,61.67
2.0,15,chains,10,0.9,0.8,60.0
2.0,15,chains,10,0.9,0.9,58.33
2.0,15,chains,10,1,0.6,58.33
2.0,15,chains,1,0.9,0.7,56.67
4.0,15,chains,10,1,0.6,61.67
4.0,15,chains,10,0.9,0.6,61.67
4.0,15,chains,1,0.9,0.8,58.33
4.0,15,chains,1,0.9,0.7,58.33
4.0,15,chains,10,1,0.7,58.33
8.0,15,chains,10,1,0.8,61.67
8.0,15,chains,10,1,0.7,61.67
8.0,15,chains,10,0.9,0.6,61.67
8.0,15,chains,10,0.9,0.8,60.0
8.0,15,chains,10,1,0.9,58.33
16.0,15,chains,10,1,0.7,65.0
16.0,15,chains,10,0.9,0.7,65.0
16.0,15,chains,10,1,0.6,63.33
16.0,15,chains,10,1,0.8,61.67
16.0,15,chains,1,0.9,0.9,60.0
32.0,15,chains,1,1,0.8,66.67
32.0,15,chains,1,0.9,0.8,63.33
32.0,15,chains,10,1,0.8,63.33
32.0,15,chains,10,0.9,0.9,61.67
32.0,15,chains,10,0.9,0.8,61.67
