epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,3,chains,0.1,1,0.9,93.75
-1.0,3,chains,0.1,0.9,0.9,93.75
-1.0,3,chains,1,1,0.9,93.75
-1.0,3,chains,1,0.9,0.9,93.75
-1.0,3,chains,10,1,0.9,93.75
1.0,3,chains,10,1,0.8,75.0
1.0,3,chains,10,1,0.7,75.0
1.0,3,chains,10,0.9,0.7,75.0
1.0,3,chains,10,1,0.6,75.0
1.0,3,chains,10,0.9,0.6,75.0
2.0,3,chains,10,1,0.9,87.5
2.0,3,chains,10,0.9,0.9,87.5
2.0,3,chains,10,1,0.8,87.5
2.0,3,chains,10,0.9,0.8,87.5
2.0,3,chains,10,1,0.7,87.5
4.0,3,chains,1,0.9,0.8,84.38
4.0,3,chains,10,1,0.9,81.25
4.0,3,chains,10,0.9,0.6,81.25
4.0,3,chains,10,1,0.8,78.12
4.0,3,chains,10,0.9,0.8,78.12
8.0,3,chains,1,0.9,0.7,84.38
8.0,3,chains,1,1,0.9,75.0
8.0,3,chains,10,0.9,0.7,75.0
8.0,3,chains,10,1,0.6,75.0
8.0,3,chains,10,1,0.9,71.88
16.0,3,chains,1,0.9,0.9,78.12
16.0,3,chains,10,1,0.9,71.88
16.0,3,chains,1,0.9,0.8,71.88
16.0,3,chains,10,1,0.8,71.88
16.0,3,chains,1,1,0.7,71.88
32.0,3,chains,1,0.9,0.9,87.5
32.0,3,chains,1,0.9,0.8,87.5
32.0,3,chains,10,1,0.9,71.88
32.0,3,chains,1,1,0.9,68.75
32.0,3,chains,10,0.9,0.9,68.75
