epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
16.0,5,chains,10,0.9,0.8,68.33
16.0,5,chains,10,1,0.7,65.0
16.0,5,chains,10,0.9,0.7,65.0
16.0,5,chains,10,1,0.9,63.33
16.0,5,chains,10,1,0.8,63.33
16.0,7,chains,10,1,0.9,73.33
16.0,7,chains,10,0.9,0.9,73.33
16.0,7,chains,10,1,0.8,73.33
16.0,7,chains,0.1,0.9,0.8,71.67
16.0,7,chains,10,0.9,0.8,71.67
16.0,9,chains,0.1,1,0.9,65.0
16.0,9,chains,1,1,0.9,63.33
16.0,9,chains,0.1,0.9,0.9,61.67
16.0,9,chains,1,0.9,0.9,61.67
16.0,9,chains,0.1,1,0.8,60.0
16.0,11,chains,10,1,0.9,73.33
16.0,11,chains,10,0.9,0.9,73.33
16.0,11,chains,10,1,0.8,73.33
16.0,11,chains,10,0.9,0.8,73.33
16.0,11,chains,1,0.9,0.9,71.67
16.0,13,chains,1,1,0.8,71.67
16.0,13,chains,10,1,0.9,70.0
16.0,13,chains,1,1,0.7,70.0
16.0,13,chains,10,0.9,0.9,68.33
16.0,13,chains,0.1,1,0.8,68.33
16.0,15,chains,10,1,0.7,65.0
16.0,15,chains,10,0.9,0.7,65.0
16.0,15,chains,10,1,0.6,63.33
16.0,15,chains,10,1,0.8,61.67
16.0,15,chains,1,0.9,0.9,60.0
16.0,17,chains,10,1,0.6,66.67
16.0,17,chains,10,0.9,0.8,65.0
16.0,17,chains,1,0.9,0.6,65.0
16.0,17,chains,10,0.9,0.6,65.0
16.0,17,chains,10,0.9,0.7,61.67
16.0,20,chains,10,1,0.9,70.0
16.0,20,chains,10,0.9,0.9,70.0
16.0,20,chains,10,1,0.8,70.0
16.0,20,chains,10,0.9,0.8,70.0
16.0,20,chains,10,1,0.7,68.33
