epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,9,chains,0.1,1,0.8,86.67
-1.0,9,chains,0.1,1,0.9,83.33
-1.0,9,chains,1,1,0.9,80.0
-1.0,9,chains,0.1,0.9,0.9,75.0
-1.0,9,chains,10,1,0.9,71.67
1.0,9,chains,0.1,0.9,0.8,61.67
1.0,9,chains,0.1,0.9,0.7,61.67
1.0,9,chains,0.1,1,0.6,61.67
1.0,9,chains,0.1,1,0.8,60.0
1.0,9,chains,1,0.9,0.8,60.0
2.0,9,chains,0.1,0.9,0.9,61.67
2.0,9,chains,0.1,1,0.8,61.67
2.0,9,chains,0.1,0.9,0.8,61.67
2.0,9,chains,0.1,1,0.9,60.0
2.0,9,chains,1,0.9,0.9,60.0
4.0,9,chains,0.1,1,0.9,61.67
4.0,9,chains,0.1,0.9,0.6,61.67
4.0,9,chains,1,0.9,0.6,61.67
4.0,9,chains,0.1,0.9,0.9,60.0
4.0,9,chains,1,1,0.9,60.0
8.0,9,chains,1,0.9,0.7,63.33
8.0,9,chains,0.1,0.9,0.9,61.67
8.0,9,chains,1,0.9,0.9,61.67
8.0,9,chains,0.1,0.9,0.7,61.67
8.0,9,chains,0.1,1,0.9,60.0
16.0,9,chains,0.1,1,0.9,65.0
16.0,9,chains,1,1,0.9,63.33
16.0,9,chains,0.1,0.9,0.9,61.67
16.0,9,chains,1,0.9,0.9,61.67
16.0,9,chains,0.1,1,0.8,60.0
32.0,9,chains,0.1,1,0.9,61.67
32.0,9,chains,0.1,0.9,0.9,58.33
32.0,9,chains,1,1,0.9,58.33
32.0,9,chains,1,1,0.8,58.33
32.0,9,chains,1,1,0.7,58.33
