hops,dataset,max_accuracy,epsilon
1,chains,53.12,2.0
2,chains,53.12,2.0
3,chains,65.62,2.0
4,chains,46.88,2.0
5,chains,53.12,2.0
6,chains,65.62,2.0
7,chains,59.38,2.0
8,chains,50.0,2.0
9,chains,62.5,2.0
10,chains,50.0,2.0
15,chains,43.75,2.0
