epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
4.0,1,chains,10,1,0.9,77.5
4.0,1,chains,10,0.9,0.9,77.5
4.0,1,chains,1,0.9,0.8,77.5
4.0,1,chains,10,0.9,0.7,77.5
4.0,1,chains,1,1,0.8,75.0
4.0,2,chains,1,0.9,0.6,77.5
4.0,2,chains,10,1,0.9,75.0
4.0,2,chains,10,0.9,0.9,75.0
4.0,2,chains,10,1,0.8,75.0
4.0,2,chains,10,0.9,0.7,75.0
4.0,3,chains,1,1,0.9,67.5
4.0,3,chains,0.1,1,0.9,65.0
4.0,3,chains,10,0.9,0.9,65.0
4.0,3,chains,0.1,1,0.8,65.0
4.0,3,chains,10,1,0.8,65.0
4.0,4,chains,10,1,0.9,77.5
4.0,4,chains,10,0.9,0.9,77.5
4.0,4,chains,10,1,0.8,75.0
4.0,4,chains,10,0.9,0.8,75.0
4.0,4,chains,10,1,0.7,75.0
4.0,5,chains,10,0.9,0.9,75.0
4.0,5,chains,10,1,0.8,72.5
4.0,5,chains,10,0.9,0.7,72.5
4.0,5,chains,10,1,0.6,72.5
4.0,5,chains,10,1,0.7,70.0
4.0,6,chains,0.1,1,0.9,75.0
4.0,6,chains,10,1,0.9,75.0
4.0,6,chains,1,0.9,0.8,75.0
4.0,6,chains,10,0.9,0.8,72.5
4.0,6,chains,1,1,0.7,72.5
4.0,7,chains,10,1,0.8,75.0
4.0,7,chains,10,1,0.7,75.0
4.0,7,chains,10,1,0.9,72.5
4.0,7,chains,10,0.9,0.6,72.5
4.0,7,chains,10,0.9,0.9,70.0
4.0,8,chains,10,0.9,0.6,77.5
4.0,8,chains,10,1,0.6,72.5
4.0,8,chains,10,1,0.7,70.0
4.0,8,chains,10,0.9,0.7,70.0
4.0,8,chains,10,1,0.9,67.5
4.0,9,chains,0.1,0.9,0.9,67.5
4.0,9,chains,10,0.9,0.6,67.5
4.0,9,chains,10,1,0.9,65.0
4.0,9,chains,10,0.9,0.9,65.0
4.0,9,chains,10,1,0.8,62.5
4.0,10,chains,10,1,0.9,82.5
4.0,10,chains,10,0.9,0.9,82.5
4.0,10,chains,10,1,0.8,80.0
4.0,10,chains,10,0.9,0.8,80.0
4.0,10,chains,10,0.9,0.7,80.0
4.0,15,chains,10,1,0.8,80.0
4.0,15,chains,1,0.9,0.7,77.5
4.0,15,chains,10,1,0.7,77.5
4.0,15,chains,10,0.9,0.7,77.5
4.0,15,chains,1,0.9,0.6,77.5
