epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,13,chains,1,1,0.9,80.0
-1.0,13,chains,0.1,1,0.9,71.67
-1.0,13,chains,10,1,0.9,71.67
-1.0,13,chains,0.1,0.9,0.9,65.0
-1.0,13,chains,1,0.9,0.9,65.0
1.0,13,chains,1,0.9,0.9,65.0
1.0,13,chains,1,0.9,0.8,65.0
1.0,13,chains,10,0.9,0.8,65.0
1.0,13,chains,1,0.9,0.7,65.0
1.0,13,chains,0.1,1,0.9,63.33
2.0,13,chains,10,0.9,0.8,66.67
2.0,13,chains,10,1,0.7,66.67
2.0,13,chains,1,0.9,0.9,65.0
2.0,13,chains,10,0.9,0.9,65.0
2.0,13,chains,1,0.9,0.8,65.0
4.0,13,chains,10,0.9,0.6,70.0
4.0,13,chains,10,1,0.9,66.67
4.0,13,chains,10,0.9,0.9,66.67
4.0,13,chains,10,0.9,0.8,66.67
4.0,13,chains,10,1,0.8,65.0
8.0,13,chains,10,1,0.9,70.0
8.0,13,chains,10,1,0.8,70.0
8.0,13,chains,10,1,0.7,70.0
8.0,13,chains,10,1,0.6,70.0
8.0,13,chains,1,1,0.9,66.67
16.0,13,chains,1,1,0.8,71.67
16.0,13,chains,10,1,0.9,70.0
16.0,13,chains,1,1,0.7,70.0
16.0,13,chains,10,0.9,0.9,68.33
16.0,13,chains,0.1,1,0.8,68.33
32.0,13,chains,10,1,0.8,75.0
32.0,13,chains,1,1,0.9,73.33
32.0,13,chains,1,0.9,0.9,71.67
32.0,13,chains,10,0.9,0.9,71.67
32.0,13,chains,10,0.9,0.8,71.67
