epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
32.0,5,chains,1,0.9,0.9,78.33
32.0,5,chains,1,1,0.7,70.0
32.0,5,chains,10,1,0.9,65.0
32.0,5,chains,10,0.9,0.9,65.0
32.0,5,chains,10,0.9,0.8,65.0
32.0,7,chains,0.1,1,0.7,70.0
32.0,7,chains,10,1,0.7,70.0
32.0,7,chains,10,0.9,0.7,70.0
32.0,7,chains,0.1,0.9,0.6,70.0
32.0,7,chains,10,1,0.6,70.0
32.0,9,chains,0.1,1,0.9,61.67
32.0,9,chains,0.1,0.9,0.9,58.33
32.0,9,chains,1,1,0.9,58.33
32.0,9,chains,1,1,0.8,58.33
32.0,9,chains,1,1,0.7,58.33
32.0,11,chains,1,1,0.9,75.0
32.0,11,chains,10,1,0.9,75.0
32.0,11,chains,1,1,0.6,75.0
32.0,11,chains,1,1,0.7,73.33
32.0,11,chains,1,0.9,0.7,73.33
32.0,13,chains,10,1,0.8,75.0
32.0,13,chains,1,1,0.9,73.33
32.0,13,chains,1,0.9,0.9,71.67
32.0,13,chains,10,0.9,0.9,71.67
32.0,13,chains,10,0.9,0.8,71.67
32.0,15,chains,1,1,0.8,66.67
32.0,15,chains,1,0.9,0.8,63.33
32.0,15,chains,10,1,0.8,63.33
32.0,15,chains,10,0.9,0.9,61.67
32.0,15,chains,10,0.9,0.8,61.67
32.0,17,chains,10,1,0.9,68.33
32.0,17,chains,1,1,0.7,66.67
32.0,17,chains,1,0.9,0.6,66.67
32.0,17,chains,10,0.9,0.6,66.67
32.0,17,chains,1,0.9,0.7,65.0
32.0,20,chains,10,1,0.8,70.0
32.0,20,chains,10,0.9,0.8,68.33
32.0,20,chains,10,1,0.7,68.33
32.0,20,chains,10,0.9,0.7,68.33
32.0,20,chains,10,1,0.6,68.33
